Screen ID,Type Restriction,Bundle,Datatype,List,Name,is container,is ripetibile,wysiwyg,List Values
IDENTIFICAZIONE,documento,hierarchy_navigation,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,access,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_collections,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_genreform,Text,,Tipologia,FALSE,FALSE,,
IDENTIFICAZIONE,documento,preferred_labels,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,nonpreferred_labels,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_numerazione_provvisoria.temp_number,Numeric,,N. provvisorio,TRUE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_numerazione_provvisoria.temp_number_bis,List,bis_ter,Suffisso,TRUE,FALSE,,bis; ter; quater; quinquies; sexies; septies; octies; novies; decies; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40
IDENTIFICAZIONE,documento,ca_attribute_numerazione_provvisoria.siglaProvv,Text,,Prefisso,TRUE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_numerazione_definitiva.final_number,Numeric,,N. definitivo,TRUE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_numerazione_definitiva.final_number_bis,List,bis_ter,Suffisso,TRUE,FALSE,,bis; ter; quater; quinquies; sexies; septies; octies; novies; decies; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40
IDENTIFICAZIONE,documento,ca_attribute_numerazione_definitiva.prefix,Text,,Prefisso,TRUE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_numerazione_definitiva.num_romano,Text,,Numero romano,TRUE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_date.date_display,Text,,Data (testo libero),TRUE,TRUE,,
IDENTIFICAZIONE,documento,ca_attribute_date.date_notes,Text,,Note alla data,TRUE,TRUE,,
IDENTIFICAZIONE,documento,ca_attribute_date.data_range,DateRange,,Data (normalizzata),TRUE,TRUE,,
IDENTIFICAZIONE,documento,ca_attribute_date.tipo_data,Text,,Tipologia,TRUE,TRUE,,
IDENTIFICAZIONE,documento,ca_attribute_date.motivazione_data,List,Motivazione,Motivazione,TRUE,TRUE,,analisi stilistica; firma; iscrizione; sigla; documentazione; tradizione orale; data; bibliografia; marchio
IDENTIFICAZIONE,documento,ca_attribute_topical_date,Text,,Data topica,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_entities,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_entities,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_entities,,,,FALSE,FALSE,,
IDENTIFICAZIONE,documento,ca_attribute_extent2.extent_type,List,TipologiaConsistenza,Tipologia,TRUE,TRUE,,busta/e; cartella/e; disegno/i; dossier; faldone/i; fascicolo/i; filza/e; foglio/fogli sciolti; fototipo/i; libro/i; manifesto/i; mappa/e; mazzo/i; opuscolo/i; pacco/pacchi; plico/plichi; quaderno/i; raccoglitore ad anelli; registro/i; rivista/e; rotolo/i; scatola/e; scheda/e; taccuino/i; volume/i; carta/e; pagina/e; pezzo/i; metro/i
IDENTIFICAZIONE,documento,ca_attribute_extent2.unit_extent,Numeric,,Quantità,TRUE,TRUE,,
